ITEM   	 LEN_P 	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
domes	   4	   5	   8	  14	-1	-1	-1	-1	
domestics	   -  	   9	   0		-1	-1	-1	-1	
dominance	   8	   9	   0	   1	-1	-1	-1	-1	
domineer	   -  	   8	   0		-1	-1	-1	-1	
dominion	   8	   8	   0	   1	-1	-1	-1	-1	
dominoes	   7	   8	   0	   0	-1	-1	-1	-1	
dominos	   -  	   7	   0		-1	-1	-1	-1	
donation	   6	   8	   0	   1	-1	-1	-1	-1	
donations	   7	   9	   0	   1	-1	-1	-1	-1	
donnybrook	   -  	  10	   0		-1	-1	-1	-1	
dons	   4	   4	  10	  13	-1	-1	-1	-1	
dooms	   -  	   5	   5		-1	-1	-1	-1	
doomsayer	   -  	   9	   0		-1	-1	-1	-1	
doomsayers	   -  	  10	   0		-1	-1	-1	-1	
door	   3	   4	   5	  21	 214	-1	 599	-1	
doorkeeper	   -  	  10	   0		-1	-1	-1	-1	
doors	   3	   5	   2	  29	-1	-1	-1	-1	
dormancy	   -  	   8	   0		-1	-1	-1	-1	
dorms	   4	   5	   3	  11	-1	-1	-1	-1	
dosages	   -  	   7	   0		-1	-1	-1	-1	
dose	   3	   4	  12	  11	 415	-1	 302	-1	
dosh	   -  	   4	   8		-1	-1	-1	-1	
doss	   -  	   4	  10		-1	-1	-1	-1	
dots	   4	   4	   9	  15	-1	-1	-1	-1	
doubletree	   -  	  10	   0		-1	-1	-1	-1	
dough	   2	   5	   4	  25	 369	-1	 558	-1	
doves	   4	   5	   6	   5	-1	-1	-1	-1	
dower	   -  	   5	   6		-1	-1	-1	-1	
downriver	   -  	   9	   0		-1	-1	-1	-1	
drabs	   -  	   5	   4		-1	-1	-1	-1	
drains	   5	   6	   3	  10	-1	-1	-1	-1	
dram	   4	   4	   9	  13	-1	-1	-1	-1	
dramatics	   9	   9	   0	   1	-1	-1	-1	-1	
dramatist	   9	   9	   0	   1	-1	-1	-1	-1	
drams	   -  	   5	   7		-1	-1	-1	-1	
draperies	   8	   9	   0	   1	-1	-1	-1	-1	
drapery	   7	   7	   0	   1	-1	-1	-1	-1	
draught	   5	   7	   2	   6	 473	-1	 330	-1	
draughts	   6	   8	   2	   5	-1	-1	-1	-1	
drawer	   5	   6	   1	   1	-1	-1	-1	-1	
drawers	   4	   7	   0	   7	-1	-1	-1	-1	
dray	   -  	   4	   9		-1	-1	-1	-1	
dregs	   5	   5	   3	   3	-1	-1	-1	-1	
dressier	   -  	   8	   0		-1	-1	-1	-1	
dressmaker	   9	  10	   0	   0	-1	 410	-1	 553	
dribs	   -  	   5	   2		-1	-1	-1	-1	
drills	   5	   6	   3	   5	-1	-1	-1	-1	
drogue	   -  	   6	   0		-1	-1	-1	-1	
dross	   4	   5	   4	   4	-1	-1	-1	-1	
drought	   4	   7	   3	   6	 463	-1	 354	-1	
droughts	   5	   8	   1	   2	-1	-1	-1	-1	
droves	   5	   6	   4	   4	-1	-1	-1	-1	
drowsiness	   8	  10	   0	   0	-1	-1	-1	-1	
drudgery	   7	   8	   0	   0	-1	-1	-1	-1	
drums	   5	   5	   1	   5	-1	-1	-1	-1	
drunks	   6	   6	   2	   3	-1	-1	-1	-1	
druze	   -  	   5	   0		-1	-1	-1	-1	
ducks	   4	   5	   9	  10	-1	-1	-1	-1	
ducts	   5	   5	   3	   4	-1	-1	-1	-1	
dudes	   5	   5	   4	   5	-1	-1	-1	-1	
duds	   -  	   4	   7		-1	-1	-1	-1	
duelist	   -  	   7	   0		-1	-1	-1	-1	
dues	   4	   4	   9	  19	-1	-1	-1	-1	
dui	   -  	   3	   5		-1	-1	-1	-1	
dulcimer	   -  	   8	   0		-1	-1	-1	-1	
dumps	   5	   5	   7	   9	-1	-1	-1	-1	
dunes	   5	   5	   6	   4	-1	-1	-1	-1	
dung	   3	   4	   7	  14	 407	-1	 534	-1	
dupes	   5	   5	   4	   5	-1	-1	-1	-1	
duration	   7	   8	   0	   0	-1	-1	-1	-1	
dusk	   4	   4	   8	   7	 425	-1	 575	-1	
dwarfism	   -  	   8	   1		-1	-1	-1	-1	
dweeb	   -  	   5	   0		-1	-1	-1	-1	
dyes	   3	   4	   5	  27	-1	-1	-1	-1	
dynamics	   8	   8	   0	   1	-1	-1	-1	-1	
dynamo	   6	   6	   0	   0	-1	-1	-1	-1	
dynasties	   8	   9	   0	   1	-1	-1	-1	-1	
dynasty	   7	   7	   0	   1	-1	-1	 386	-1	
dysplasia	   -  	   9	   0		-1	-1	-1	-1	
dyspnea	   -  	   7	   0		-1	-1	-1	-1	
dystrophy	   -  	   9	   0		-1	-1	-1	-1	
eagerness	   6	   9	   0	   0	-1	-1	-1	-1	
ear	   2	   3	  11	  21	-1	-1	 597	-1	
earpieces	   -  	   9	   0		-1	-1	-1	-1	
ears	   2	   4	  10	  22	-1	-1	-1	-1	
earths	   3	   6	   1	   4	-1	-1	-1	-1	
eateries	   -  	   8	   0		-1	-1	-1	-1	
eau	   -  	   3	   2		-1	-1	-1	-1	
eccentrics	  10	  10	   0	   1	-1	-1	-1	-1	
echelons	   7	   8	   0	   1	-1	-1	-1	-1	
eclipses	   -  	   8	   1		-1	-1	-1	-1	
ecstasy	   7	   7	   0	   1	-1	 595	-1	 503	
eczema	   6	   6	   0	   0	-1	-1	-1	-1	
edelweiss	   -  	   9	   0		-1	-1	-1	-1	
edema	   -  	   5	   1		-1	-1	-1	-1	
edginess	   -  	   8	   0		-1	-1	-1	-1	
edibles	   -  	   7	   0		-1	-1	-1	-1	
edition	   5	   7	   0	   5	-1	-1	 373	-1	
editions	   6	   8	   0	   4	-1	-1	-1	-1	
eel	   2	   3	   1	  20	-1	-1	 552	-1	
effigy	   5	   6	   0	   2	-1	-1	-1	-1	
effluent	   6	   8	   1	   1	-1	-1	-1	-1	
eggs	   3	   4	   1	   5	-1	-1	-1	-1	
egotist	   -  	   7	   1		-1	-1	-1	-1	
egyptians	   -  	   9	   0		-1	-1	-1	-1	
ejection	   6	   8	   2	   5	-1	-1	-1	-1	
elation	   5	   7	   0	   1	-1	-1	-1	-1	
election	   6	   8	   3	   4	 528	-1	 435	-1	
elections	   7	   9	   2	   3	-1	-1	-1	-1	
electives	   -  	   9	   0		-1	-1	-1	-1	
electors	   7	   8	   0	   2	-1	-1	-1	-1	
electrics	   -  	   9	   0		-1	-1	-1	-1	
electron	   8	   8	   1	   1	-1	-1	-1	-1	
electrons	   9	   9	   1	   1	-1	-1	-1	-1	
elegance	   7	   8	   0	   1	-1	 538	-1	 523	
elegy	   5	   5	   0	   1	-1	-1	-1	-1	
element	   7	   7	   1	   2	-1	-1	-1	-1	
elements	   7	   8	   0	   2	-1	-1	-1	-1	
elms	   4	   4	   1	   3	-1	-1	-1	-1	
elves	   4	   5	   1	   3	-1	-1	-1	-1	
embankment	  10	  10	   0	   0	-1	-1	-1	-1	
embargo	   6	   7	   0	   1	-1	-1	-1	-1	
embargoes	   7	   9	   0	   1	-1	-1	-1	-1	
embassies	   7	   9	   0	   1	-1	-1	-1	-1	
embassy	   6	   7	   0	   1	-1	-1	-1	-1	
embolden	   -  	   8	   0		-1	-1	-1	-1	
embryo	   6	   6	   0	   1	-1	-1	-1	-1	
embryos	   7	   7	   0	   1	-1	-1	-1	-1	
emergence	   7	   9	   1	   1	-1	-1	 387	-1	
emigres	   7	   7	   0	   2	-1	-1	-1	-1	
eminence	   7	   8	   0	   2	-1	-1	-1	-1	
emirates	   7	   8	   0	   0	-1	-1	-1	-1	
emission	   5	   8	   1	   6	-1	-1	 416	-1	
emissions	   6	   9	   1	   4	-1	-1	-1	-1	
emitter	   -  	   7	   1		-1	-1	-1	-1	
emotion	   5	   7	   0	   3	 492	-1	 478	-1	
emotions	   6	   8	   0	   2	-1	-1	-1	-1	
empathy	   6	   7	   0	   0	-1	 637	-1	 255	
emperors	   7	   8	   0	   1	-1	-1	-1	-1	
emphasis	   7	   8	   1	   0	-1	-1	-1	-1	
empires	   6	   7	   2	   2	-1	-1	-1	-1	
employees	   7	   9	   1	   1	-1	-1	-1	-1	
employers	   7	   9	   1	   1	-1	-1	-1	-1	
employment	   9	  10	   0	   0	 492	-1	 435	-1	
empt	   -  	   4	   1		-1	-1	-1	-1	
emptiness	   8	   9	   0	   0	-1	-1	-1	-1	
emulsion	   6	   8	   0	   0	 542	-1	 451	-1	
enactment	   9	   9	   0	   0	-1	-1	-1	-1	
enactments	   -  	  10	   0		-1	-1	-1	-1	
enamel	   5	   6	   0	   1	-1	-1	 451	-1	
encampment	  10	  10	   0	   0	-1	-1	-1	-1	
enchanter	   -  	   9	   1		-1	-1	-1	-1	
enclosure	   8	   9	   0	   1	-1	-1	-1	-1	
enclosures	   8	  10	   0	   1	-1	-1	-1	-1	
encryption	   -  	  10	   0		-1	-1	-1	-1	
ende	   -  	   4	   1		-1	-1	-1	-1	
endorphin	   -  	   9	   0		-1	-1	-1	-1	
endoscope	   -  	   9	   0		-1	-1	-1	-1	
endowment	   8	   9	   0	   2	-1	-1	-1	-1	
endowments	   9	  10	   0	   1	-1	-1	-1	-1	
endurance	   9	   9	   0	   0	-1	-1	-1	-1	
enema	   5	   5	   1	   1	-1	-1	-1	-1	
enemas	   6	   6	   0	   1	-1	-1	-1	-1	
enemies	   6	   7	   0	   2	-1	-1	-1	-1	
energies	   6	   8	   0	   2	-1	-1	-1	-1	
energy	   5	   6	   0	   2	-1	 380	-1	 429	
enforcer	   -  	   8	   1		-1	-1	-1	-1	
enforcers	   -  	   9	   0		-1	-1	-1	-1	
engagement	   9	  10	   0	   0	-1	-1	 474	-1	
engineers	   7	   9	   0	   2	-1	-1	-1	-1	
englishman	   -  	  10	   0		-1	-1	-1	-1	
englishmen	   -  	  10	   0		-1	-1	-1	-1	
engraver	   8	   8	   1	   0	-1	-1	-1	-1	
engravings	   9	  10	   0	   1	-1	-1	-1	-1	
enhancer	   -  	   8	   2		-1	-1	-1	-1	
enigma	   6	   6	   0	   1	 649	-1	 259	-1	
enjoyment	   8	   9	   0	   1	-1	 340	-1	 472	
enjoyments	   9	  10	   0	   1	-1	-1	-1	-1	
enlarger	   -  	   8	   2		-1	-1	-1	-1	
enmity	   6	   6	   1	   2	-1	-1	-1	-1	
ennui	   4	   5	   0	   0	-1	-1	-1	-1	
enquiry	   -  	   7	   1		-1	-1	-1	-1	
enrichment	   9	  10	   0	   0	-1	-1	-1	-1	
enrollees	   -  	   9	   0		-1	-1	-1	-1	
ensemble	   7	   8	   0	   0	 578	-1	 419	-1	
ensembles	   -  	   9	   0		-1	-1	-1	-1	
entendre	   -  	   8	   0		-1	-1	-1	-1	
enticement	   -  	  10	   0		-1	-1	-1	-1	
entities	   7	   8	   2	   2	-1	-1	-1	-1	
entity	   6	   6	   1	   2	-1	-1	-1	-1	
entombment	   -  	  10	   0		-1	-1	-1	-1	
entourage	   7	   9	   1	   0	-1	-1	-1	-1	
entrances	   9	   9	   1	   1	-1	-1	-1	-1	
entrapment	  10	  10	   0	   0	-1	-1	-1	-1	
entreaties	   8	  10	   0	   0	-1	-1	-1	-1	
entreaty	   -  	   8	   0		-1	-1	-1	-1	
entryway	   -  	   8	   0		-1	-1	-1	-1	
envelope	   7	   8	   0	   1	-1	-1	 554	-1	
envelopes	   8	   9	   1	   1	-1	-1	-1	-1	
environs	   9	   8	   0	   0	-1	-1	-1	-1	
epicure	   -  	   7	   0		-1	-1	-1	-1	
epilogue	   6	   8	   0	   0	-1	-1	-1	-1	
episode	   6	   7	   0	   1	-1	-1	 370	-1	
episodes	   7	   8	   0	   1	-1	-1	-1	-1	
epistle	   5	   7	   0	   0	-1	-1	-1	-1	
epitaph	   6	   7	   0	   1	 614	-1	 418	-1	
epitaphs	   7	   8	   0	   1	-1	-1	-1	-1	
epithets	   7	   8	   0	   1	-1	-1	-1	-1	
equation	   6	   8	   0	   1	-1	-1	-1	-1	
equations	   7	   9	   0	   1	-1	-1	-1	-1	
equator	   7	   7	   0	   0	-1	-1	-1	-1	
equipment	   9	   9	   0	   0	 447	-1	 410	-1	
equipments	   -  	  10	   0		-1	-1	-1	-1	
equities	   7	   8	   0	   1	-1	-1	-1	-1	
equity	   6	   6	   0	   1	-1	-1	 281	-1	
eraser	   -  	   6	   1		-1	-1	-1	-1	
erasers	   -  	   7	   0		-1	-1	-1	-1	
erection	   6	   8	   2	   4	-1	-1	-1	-1	
erections	   7	   9	   1	   3	-1	-1	-1	-1	
erector	   -  	   7	   1		-1	-1	-1	-1	
erosion	   5	   7	   0	   0	-1	-1	-1	-1	
eruption	   6	   8	   0	   1	-1	-1	-1	-1	
eruptions	   7	   9	   0	   1	-1	-1	-1	-1	
escapee	   6	   7	   2	   1	-1	-1	-1	-1	
escapees	   7	   8	   0	   1	-1	-1	-1	-1	
escarpment	   9	  10	   0	   0	-1	-1	-1	-1	
escudos	   -  	   7	   0		-1	-1	-1	-1	
eskimos	   -  	   7	   0		-1	-1	-1	-1	
espresso	   7	   8	   0	   0	-1	-1	-1	-1	
espressos	   -  	   9	   0		-1	-1	-1	-1	
ess	   -  	   3	   1		-1	-1	-1	-1	
essentials	   7	  10	   0	   1	-1	-1	-1	-1	
estrogens	   -  	   9	   0		-1	-1	-1	-1	
ethanol	   -  	   7	   0		-1	-1	-1	-1	
ethylene	   -  	   8	   0		-1	-1	-1	-1	
etiquette	   6	   9	   0	   0	 619	-1	 388	-1	
eucharist	   -  	   9	   0		-1	-1	-1	-1	
eugenics	   -  	   8	   0		-1	-1	-1	-1	
eulogies	   7	   8	   0	   1	-1	-1	-1	-1	
eulogy	   6	   6	   0	   1	-1	-1	-1	-1	
euphony	   -  	   7	   0		-1	-1	-1	-1	
evader	   -  	   6	   2		-1	-1	-1	-1	
evasion	   5	   7	   0	   2	-1	-1	-1	-1	
evasions	   6	   8	   0	   2	-1	-1	-1	-1	
evergreens	   8	  10	   0	   1	-1	-1	-1	-1	
eviction	   6	   8	   0	   0	-1	-1	-1	-1	
evictions	   -  	   9	   0		-1	-1	-1	-1	
evidence	   7	   8	   0	   2	 480	-1	 356	-1	
ewe	   2	   3	   5	  29	 378	-1	 481	-1	
ewes	   3	   4	   3	  28	-1	-1	-1	-1	
exaction	   -  	   8	   0		-1	-1	-1	-1	
exactions	   -  	   9	   0		-1	-1	-1	-1	
examples	   8	   8	   0	   1	-1	-1	-1	-1	
exception	   7	   9	   0	   2	 472	-1	 232	-1	
exceptions	   8	  10	   0	   1	-1	-1	-1	-1	
excesses	   7	   8	   0	   1	-1	-1	-1	-1	
exchanger	   -  	   9	   2		-1	-1	-1	-1	
exchanges	   9	   9	   1	   1	-1	-1	-1	-1	
exchequer	   8	   9	   0	   0	-1	-1	-1	-1	
excision	   -  	   8	   0		-1	-1	-1	-1	
exclusion	   8	   9	   0	   0	-1	-1	 326	-1	
exclusions	   -  	  10	   0		-1	-1	-1	-1	
excrement	  10	   9	   0	   0	-1	-1	-1	-1	
excretion	   -  	   9	   0		-1	-1	-1	-1	
excursion	   7	   9	   0	   1	-1	-1	-1	-1	
excursions	   8	  10	   0	   1	-1	-1	-1	-1	
excuses	   9	   7	   1	   1	-1	-1	-1	-1	
exemplars	   -  	   9	   1		-1	-1	-1	-1	
exemption	   8	   9	   0	   1	-1	-1	-1	-1	
exemptions	   9	  10	   0	   1	-1	-1	-1	-1	
exertion	   6	   8	   0	   1	-1	-1	 445	-1	
exertions	   7	   9	   0	   1	-1	-1	-1	-1	
exhaustion	   8	  10	   0	   0	-1	-1	 505	-1	
existence	   9	   9	   0	   1	-1	-1	-1	-1	
exodus	   7	   6	   0	   0	-1	-1	-1	-1	
exorcists	   -  	   9	   0		-1	-1	-1	-1	
exotics	   -  	   7	   0		-1	-1	-1	-1	
expansion	   8	   9	   0	   0	-1	-1	 417	-1	
expansions	   -  	  10	   0		-1	-1	-1	-1	
expenses	   9	   8	   1	   2	-1	-1	-1	-1	
expertise	   8	   9	   0	   0	-1	-1	-1	-1	
expiry	   8	   6	   1	   1	-1	-1	-1	-1	
expletives	   -  	  10	   0		-1	-1	-1	-1	
explorer	   9	   8	   2	   1	-1	-1	-1	-1	
explorers	   9	   9	   0	   1	-1	-1	-1	-1	
explosion	   8	   9	   0	   1	-1	-1	-1	-1	
explosions	   9	  10	   0	   1	-1	-1	-1	-1	
explosives	  10	  10	   0	   1	-1	-1	-1	-1	
exponent	   9	   8	   0	   1	-1	-1	-1	-1	
exponents	  10	   9	   0	   1	-1	-1	-1	-1	
exporter	   8	   8	   1	   1	-1	-1	-1	-1	
exposure	   8	   8	   0	   1	-1	-1	 431	-1	
exposures	   8	   9	   0	   1	-1	-1	-1	-1	
expression	   8	  10	   0	   0	-1	-1	 386	-1	
expresso	   -  	   8	   1		-1	-1	-1	-1	
expressway	   9	  10	   0	   0	-1	-1	-1	-1	
expulsion	   8	   9	   0	   0	-1	-1	 363	-1	
extenders	   -  	   9	   0		-1	-1	-1	-1	
extension	   8	   9	   0	   1	-1	-1	-1	-1	
extensions	   9	  10	   0	   1	-1	-1	-1	-1	
extinction	   9	  10	   0	   0	-1	-1	-1	-1	
extortion	   7	   9	   0	   0	-1	-1	-1	-1	
extremists	  11	  10	   0	   1	-1	-1	-1	-1	
extrovert	   9	   9	   0	   0	-1	-1	-1	-1	
extrusion	   -  	   9	   0		-1	-1	-1	-1	
eyedropper	   -  	  10	   0		-1	-1	-1	-1	
eyeglasses	   7	  10	   0	   0	-1	-1	-1	-1	
eyelashes	   6	   9	   0	   0	-1	-1	-1	-1	
eyeliner	   -  	   8	   0		-1	-1	-1	-1	
fac	   -  	   3	   9		-1	-1	-1	-1	
factories	   8	   9	   0	   1	-1	-1	-1	-1	
factory	   7	   7	   1	   1	-1	 380	 608	-1	
facts	   5	   5	   3	   5	-1	-1	-1	-1	
faculties	   7	   9	   0	   1	-1	-1	-1	-1	
faculty	   6	   7	   0	   1	-1	-1	-1	-1	
fad	   3	   3	  16	  26	-1	-1	-1	-1	
fads	   4	   4	   8	  12	-1	-1	-1	-1	
fags	   4	   4	  13	  15	-1	-1	-1	-1	
faire	   -  	   5	   2		-1	-1	-1	-1	
fairyland	   8	   9	   0	   0	-1	-1	-1	-1	
faiths	   4	   6	   0	   4	-1	-1	-1	-1	
fajitas	   -  	   7	   0		-1	-1	-1	-1	
falconry	   -  	   8	   0		-1	-1	-1	-1	
fallacies	   7	   9	   0	   1	-1	-1	-1	-1	
fallacy	   6	   7	   0	   1	-1	-1	 287	-1	
falsity	   7	   7	   1	   0	-1	-1	-1	-1	
family	   6	   6	   0	   2	 280	-1	 577	-1	
fanatics	   8	   8	   0	   1	-1	-1	-1	-1	
fandango	   -  	   8	   0		-1	-1	-1	-1	
fangs	   4	   5	   4	   6	-1	-1	-1	-1	
fantasies	   8	   9	   0	   1	-1	-1	-1	-1	
farce	   3	   5	   1	  10	-1	-1	-1	-1	
farmhouses	   8	  10	   0	   0	-1	-1	-1	-1	
farrier	   -  	   7	   3		-1	-1	-1	-1	
fascism	   7	   7	   1	   0	-1	-1	-1	-1	
fastener	   -  	   8	   1		-1	-1	-1	-1	
fasteners	   -  	   9	   0		-1	-1	-1	-1	
fastenings	   7	  10	   0	   0	-1	-1	-1	-1	
fatalist	   -  	   8	   1		-1	-1	-1	-1	
fates	   4	   5	  13	  16	-1	-1	-1	-1	
fatherhood	   7	  10	   0	   0	-1	-1	-1	-1	
fatherland	   8	  10	   0	   0	 531	-1	 378	-1	
fats	   4	   4	  14	  15	-1	-1	-1	-1	
fave	   -  	   4	  15		-1	-1	-1	-1	
favorites	   -  	   9	   0		-1	-1	-1	-1	
fealty	   -  	   6	   0		-1	-1	-1	-1	
feasts	   5	   6	   2	   4	-1	-1	-1	-1	
feat	   3	   4	  12	  14	 531	-1	 228	-1	
featherbed	   -  	  10	   0		-1	-1	-1	-1	
feats	   4	   5	   7	  10	-1	-1	-1	-1	
federals	   -  	   8	   0		-1	-1	-1	-1	
fedora	   -  	   6	   0		-1	-1	-1	-1	
fee	   2	   3	  15	  21	 444	-1	 440	-1	
fees	   3	   4	   9	  24	-1	-1	-1	-1	
feist	   -  	   5	   2		-1	-1	-1	-1	
fellowship	   7	  10	   0	   0	-1	-1	-1	-1	
felonies	   -  	   8	   0		-1	-1	-1	-1	
felts	   -  	   5	   6		-1	-1	-1	-1	
feminists	   9	   9	   0	   1	-1	-1	-1	-1	
fen	   3	   3	  18	  25	-1	-1	-1	-1	
fent	   -  	   4	  16		-1	-1	-1	-1	
feria	   -  	   5	   0		-1	-1	-1	-1	
fermium	   -  	   7	   0		-1	-1	-1	-1	
ferns	   4	   5	   2	  17	-1	-1	-1	-1	
ferryboats	   -  	  10	   0		-1	-1	-1	-1	
ferryman	   -  	   8	   0		-1	-1	-1	-1	
fest	   -  	   4	  15		-1	-1	-1	-1	
festivals	   8	   9	   0	   1	-1	-1	-1	-1	
fests	   -  	   5	   9		-1	-1	-1	-1	
fete	   3	   4	   1	  29	-1	-1	-1	-1	
fetishist	   8	   9	   1	   0	-1	-1	-1	-1	
fetishists	   -  	  10	   0		-1	-1	-1	-1	
feuds	   5	   5	   1	   6	-1	-1	-1	-1	
fiance	   6	   6	   0	   0	-1	-1	-1	-1	
fiasco	   6	   6	   0	   0	-1	-1	-1	-1	
fiddlers	   -  	   8	   0		-1	-1	-1	-1	
fides	   -  	   5	  11		-1	-1	-1	-1	
fief	   -  	   4	   1		-1	-1	-1	-1	
fiends	   5	   6	   1	   6	-1	-1	-1	-1	
fig	   3	   3	  15	  15	-1	-1	-1	-1	
figs	   4	   4	  10	  11	-1	-1	-1	-1	
figura	   -  	   6	   1		-1	-1	-1	-1	
figurehead	   7	  10	   0	   0	-1	-1	-1	-1	
figurine	   7	   8	   1	   1	-1	-1	-1	-1	
figurines	   8	   9	   0	   1	-1	-1	-1	-1	
filament	   8	   8	   0	   1	-1	-1	-1	-1	
filaments	   9	   9	   0	   1	-1	-1	-1	-1	
filigree	   7	   8	   0	   0	-1	-1	-1	-1	
filmmakers	   -  	  10	   0		-1	-1	-1	-1	
filtration	   8	  10	   0	   0	-1	-1	-1	-1	
finale	   6	   6	   1	   0	-1	-1	-1	-1	
finalist	   -  	   8	   0		-1	-1	-1	-1	
finalists	   9	   9	   0	   0	-1	-1	-1	-1	
finances	   8	   8	   1	   2	-1	-1	-1	-1	
financier	   8	   9	   0	   1	-1	 610	-1	 406	
financiers	   8	  10	   0	   2	-1	-1	-1	-1	
finery	   6	   6	   1	   3	-1	 490	-1	 455	
fingernail	   8	  10	   0	   0	-1	-1	-1	-1	
fingertips	   9	  10	   0	   1	-1	-1	-1	-1	
finisher	   -  	   8	   2		-1	-1	-1	-1	
finishers	   -  	   9	   0		-1	-1	-1	-1	
finns	   -  	   5	   2		-1	-1	-1	-1	
fins	   4	   4	  13	  20	-1	-1	-1	-1	
firearm	   6	   7	   1	   1	-1	-1	-1	-1	
firebrand	   8	   9	   0	   0	-1	-1	-1	-1	
fireflies	   7	   9	   0	   0	-1	-1	-1	-1	
fireplace	   7	   9	   0	   0	-1	-1	 639	-1	
firepower	   7	   9	   0	   0	-1	-1	-1	-1	
fireside	   6	   8	   0	   0	-1	-1	-1	-1	
fireweed	   -  	   8	   0		-1	-1	-1	-1	
firewood	   6	   8	   0	   0	 331	-1	 586	-1	
firsts	   5	   6	   0	   5	-1	-1	-1	-1	
firth	   3	   5	   6	  13	-1	-1	-1	-1	
fisheries	   7	   9	   0	   1	-1	-1	-1	-1	
fisherman	   7	   9	   1	   0	 289	-1	 610	-1	
fishermen	   7	   9	   1	   0	-1	-1	-1	-1	
fishery	   6	   7	   1	   1	-1	-1	-1	-1	
fishmonger	   9	  10	   0	   0	-1	-1	-1	-1	
fists	   5	   5	   3	   8	-1	-1	-1	-1	
fixation	   7	   8	   0	   0	-1	-1	-1	-1	
fjord	   -  	   5	   0		-1	-1	-1	-1	
fjords	   -  	   6	   0		-1	-1	-1	-1	
flageolet	   -  	   9	   0		-1	-1	-1	-1	
flair	   4	   5	   1	   8	-1	-1	 425	-1	
flak	   4	   4	   6	  16	-1	-1	-1	-1	
flames	   5	   6	   5	   5	-1	-1	-1	-1	
flamingos	   -  	   9	   0		-1	-1	-1	-1	
flan	   4	   4	   8	  10	-1	-1	-1	-1	
flanks	   6	   6	   4	   6	-1	-1	-1	-1	
flask	   5	   5	   2	   1	-1	-1	 614	-1	
flasks	   6	   6	   1	   1	-1	-1	-1	-1	
flattery	   7	   8	   1	   1	-1	-1	-1	-1	
flavorings	   -  	  10	   0		-1	-1	-1	-1	
flaw	   3	   4	   9	   9	-1	-1	-1	-1	
flaws	   4	   5	   5	  10	-1	-1	-1	-1	
fleck	   4	   5	   2	  10	-1	-1	-1	-1	
flecks	   5	   6	   2	   8	-1	-1	-1	-1	
fleer	   -  	   5	   4		-1	-1	-1	-1	
fleets	   5	   6	   0	   8	-1	-1	-1	-1	
flesh	   4	   5	   3	   6	 411	-1	 567	-1	
flights	   5	   7	   2	   8	-1	-1	-1	-1	
flints	   6	   6	   3	   3	-1	-1	-1	-1	
flirtation	   7	  10	   0	   1	-1	-1	-1	-1	
floats	   5	   6	   0	   5	-1	-1	-1	-1	
flocks	   5	   6	   5	  15	-1	-1	-1	-1	
floodwater	   -  	  10	   0		-1	-1	-1	-1	
floors	   4	   6	   2	  10	-1	-1	-1	-1	
flotation	   7	   9	   0	   1	-1	-1	-1	-1	
flotilla	   7	   8	   0	   0	-1	-1	-1	-1	
flue	   3	   4	   6	  12	 561	-1	 400	-1	
fluke	   4	   5	   2	   8	-1	-1	-1	-1	
flukes	   -  	   6	   2		-1	-1	-1	-1	
flume	   -  	   5	   4		-1	-1	-1	-1	
flus	   -  	   4	   3		-1	-1	-1	-1	
flute	   4	   5	   1	  13	-1	-1	 581	-1	
flutes	   5	   6	   1	   6	-1	-1	-1	-1	
flycatcher	   -  	  10	   0		-1	-1	-1	-1	
foams	   -  	   5	   3		-1	-1	-1	-1	
foe	   2	   3	  11	  27	 453	-1	 435	-1	
fogs	   4	   4	  11	  12	-1	-1	-1	-1	
foist	   -  	   5	   2		-1	-1	-1	-1	
follicle	   -  	   8	   0		-1	-1	-1	-1	
follicles	   -  	   9	   0		-1	-1	-1	-1	
follower	   6	   8	   1	   1	-1	-1	-1	-1	
followers	   6	   9	   0	   1	-1	-1	-1	-1	
followings	   -  	  10	   0		-1	-1	-1	-1	
font	   4	   4	   4	   4	 547	-1	 497	-1	
fonts	   -  	   5	   1		-1	-1	-1	-1	
foods	   4	   5	   7	   8	-1	-1	-1	-1	
foolery	   6	   7	   0	   0	-1	-1	-1	-1	
fools	   4	   5	   7	  15	-1	-1	-1	-1	
fop	   -  	   3	  14		-1	-1	-1	-1	
foramen	   -  	   7	   1		-1	-1	-1	-1	
foreboding	   7	  10	   0	   0	-1	-1	-1	-1	
forefather	   -  	  10	   0		-1	-1	-1	-1	
foreigner	   7	   9	   0	   2	 447	-1	 516	-1	
foreigners	   7	  10	   0	   2	-1	-1	-1	-1	
forerunner	   7	  10	   0	   0	-1	-1	-1	-1	
forester	   8	   8	   0	   1	-1	-1	-1	-1	
foresters	   8	   9	   0	   1	-1	-1	-1	-1	
forestry	   8	   8	   0	   0	-1	-1	-1	-1	
foret	   -  	   5	   0		-1	-1	-1	-1	
forfeiture	   -  	  10	   0		-1	-1	-1	-1	
forgeries	   7	   9	   0	   1	-1	-1	-1	-1	
forgery	   6	   7	   0	   1	-1	-1	-1	-1	
fork	   3	   4	   8	  20	 225	-1	 598	-1	
formation	   6	   9	   0	   1	-1	-1	 409	-1	
formations	   7	  10	   0	   1	-1	-1	-1	-1	
formica	   -  	   7	   0		-1	-1	-1	-1	
formula	   7	   7	   0	   2	-1	-1	-1	-1	
formulas	   8	   8	   1	   1	-1	-1	-1	-1	
